"Data compilation used in calculation of N budget, organized by year of publication. ",,,,,,,,,,,,,,,,,,
Geologic Setting abbreviations:  O = Oceanic; C = Continental; S = Sediment; L = Lithosphere; A = altered (<300°C); M = metamorphosed (>300 °C); M = primary mantle volcanics; X = xenoliths; OIB = Ocean Isl_and_ Basalt; VV= Volcanic volatiles,,,,,,,,,,,,,,,,,,
Rock name abbreviations: BIF = b_and_ed iron formation; MORB = mid-ocean ridge basalt; OIB = ocean isl_and_ basalt; F = fluid; G = gas,,,,,,,,,,,,,,,,,,
"Columns show, in order, References/notes, Sample name as used in original study, geologic setting (assigned by us), rock type (after original study), Age (Ga), δ15N _and_ error, N concentration (ppm), δ 13 C, Yb, Lu, _and_ Rb concentration (ppm), K2O (wt. %), _and_ Ar data where available  ",,,,,,,,,,,,,,,,,,
Full references are in the Supplementary References document. ,,,,,,,,,,,,,,,,,,
Source/Notes,Sample Name,Geologic Setting,Rock Type,Year Published,Age,delta15N,error,N(ppm),delta13C,Yb,Lu,K2O (WT. %),Rb (ppm),40Ar/36Ar,36Ar (mol/g),Ar total (mol/g),N2/36Ar,N2/40Ar
,Springvale-9,ACS,Oil Shale,1986,0.1,-2.3,,5200,,,,,,,,,,
,Mayneside-1,ACS,Oil Shale,1986,0.1,-2.5,,3800,,,,,,,,,,
,Nagoorin,ACS,Oil Shale,1986,0.01,2.7,,13800,,,,,,,,,,
,Condor,ACS,Oil Shale,1986,0.01,2.2,,18900,,,,,,,,,,
,Condor,ACS,Oil Shale,1986,0.01,-0.5,,14900,,,,,,,,,,
Duit_et_al_1986,Zone 1,MOS,Schist,1986,0.3,,,800,,,,,,,,,,
Mica data from Europe,Zone 2,MOS,Schist,1986,0.3,,,300,,,,,,,,,,
also some calculated whole ,Zone 3,MOS,Gneiss,1986,0.3,,,100,,,,,,,,,,
rock data. Zones are ,Zone 4,MOS,Gneiss,1986,0.3,,,100,,,,,,,,,,
calculated,Zone 5,MOS,Gneiss,1986,0.3,,,100,,,,,,,,,,
,23,MOS,Biotite,1986,0.3,,,1060,,,,,360,,,,,
,25,MOS,Muscovite,1986,0.3,,,580,,,,,,,,,,
,32 ,MOS,Biotite,1986,0.3,,,300,,,,,,,,,,
,46A,MOS,Biotite,1986,0.3,,,745,,,,,,,,,,
,71,MOS,Biotite,1986,0.3,,,130,,,,,455,,,,,
,106,MOS,Biotite,1986,0.3,,,320,,,,,,,,,,
,107,MOS,Biotite,1986,0.3,,,60,,,,,,,,,,
,118,MOS,Biotite,1986,0.3,,,380,,,,,310,,,,,
,118,MOS,Muscovite,1986,0.3,,,170,,,,,285,,,,,
,119,MOS,Biotite,1986,0.3,,,255,,,,,,,,,,
,119,MOS,Muscovite,1986,0.3,,,150,,,,,,,,,,
,121,MOS,Biotite,1986,0.3,,,280,,,,,550,,,,,
,121,MOS,Muscovite,1986,0.3,,,120,,,,,,,,,,
,123,MOS,Biotite,1986,0.3,,,470,,,,,,,,,,
,126A,MOS,Biotite,1986,0.3,,,635,,,,,,,,,,
,126A,MOS,Muscovite,1986,0.3,,,30,,,,,,,,,,
,126B,MOS,Biotite,1986,0.3,,,680,,,,,430,,,,,
,127,MOS,Biotite,1986,0.3,,,1490,,,,,625,,,,,
,129B,MOS,Biotite,1986,0.3,,,510,,,,,970,,,,,
,129B,MOS,Muscovite,1986,0.3,,,190,,,,,390,,,,,
,136,MOS,Biotite,1986,0.3,,,1330,,,,,,,,,,
,136,MOS,Muscovite,1986,0.3,,,410,,,,,,,,,,
,146,MOS,Biotite,1986,0.3,,,1540,,,,,,,,,,
,149,MOS,Biotite,1986,0.3,,,250,,,,,,,,,,
,149,MOS,Muscovite,1986,0.3,,,80,,,,,,,,,,
,153,MOS,Biotite,1986,0.3,,,340,,,,,,,,,,
,153,MOS,Muscovite,1986,0.3,,,115,,,,,220,,,,,
,154,MOS,Biotite,1986,0.3,,,240,,,,,,,,,,
,156,MOS,Biotite,1986,0.3,,,300,,,,,,,,,,
,160,MOS,Biotite,1986,0.3,,,680,,,,,560,,,,,
,161,MOS,Biotite,1986,0.3,,,280,,,,,390,,,,,
,161,MOS,Muscovite,1986,0.3,,,75,,,,,380,,,,,
,162,MOS,Biotite,1986,0.3,,,860,,,,,520,,,,,
,162,MOS,Muscovite,1986,0.3,,,80,,,,,250,,,,,
,164,MOS,Biotite,1986,0.3,,,100,,,,,,,,,,
,164,MOS,Muscovite,1986,0.3,,,110,,,,,250,,,,,
,165,MOS,Biotite,1986,0.3,,,215,,,,,,,,,,
